primary_type,location_description,count
ARSON,VEHICLE NON-COMMERCIAL,376
ARSON,RESIDENCE,192
ARSON,APARTMENT,132
ARSON,RESIDENCE - GARAGE,102
ARSON,STREET,89
ARSON,ALLEY,86
ARSON,RESIDENCE PORCH/HALLWAY,29
ARSON,SMALL RETAIL STORE,24
ARSON,VACANT LOT/LAND,22
ARSON,OTHER (SPECIFY),21
ARSON,RESIDENCE - PORCH/HALLWAY,20
ARSON,RESIDENTIAL YARD (FRONT/BACK),18
ARSON,OTHER,17
ARSON,ABANDONED BUILDING,15
ARSON,PARKING LOT/GARAGE(NON.RESID.),13
ARSON,GAS STATION,12
ARSON,RESIDENCE - YARD (FRONT/BACK),12
ARSON,COMMERCIAL/BUSINESS OFFICE,11
ARSON,CONVENIENCE STORE,10
ARSON,GROCERY FOOD STORE,10
ARSON,RESTAURANT,10
ARSON,SCHOOL - PUBLIC BUILDING,10
ARSON,DEPARTMENT STORE,9
ARSON,PARKING LOT/GARAGE (NON RESIDENTIAL),9
ARSON,SIDEWALK,7
ARSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
ARSON,DRIVEWAY - RESIDENTIAL,5
ARSON,TAVERN/LIQUOR STORE,5
ARSON,BAR OR TAVERN,4
ARSON,CHA APARTMENT,4
ARSON,HOTEL/MOTEL,4
ARSON,NURSING HOME/RETIREMENT HOME,4
ARSON,PARK PROPERTY,4
ARSON,SCHOOL - PUBLIC GROUNDS,4
ARSON,BARBERSHOP,3
ARSON,SCHOOL - PRIVATE BUILDING,3
ARSON,VEHICLE - COMMERCIAL,3
ARSON,CHA PARKING LOT/GROUNDS,2
ARSON,CLEANING STORE,2
ARSON,CTA PLATFORM,2
ARSON,DRUG STORE,2
ARSON,AUTO/BOAT/RV DEALERSHIP,1
ARSON,BANK,1
ARSON,BOAT/WATERCRAFT,1
ARSON,CAR WASH,1
ARSON,CHA HALLWAY/STAIRWELL/ELEVATOR,1
ARSON,COLLEGE/UNIVERSITY GROUNDS,1
ARSON,CONSTRUCTION SITE,1
ARSON,CTA STATION,1
ARSON,CURRENCY EXCHANGE,1
ARSON,GOVERNMENT BUILDING/PROPERTY,1
ARSON,OTHER COMMERCIAL TRANSPORTATION,1
ARSON,OTHER RAILROAD PROPERTY/TRAIN DEPOT,1
ARSON,PAWN SHOP,1
ARSON,POLICE FACILITY/VEH PARKING LOT,1
ARSON,SAVINGS AND LOAN,1
ARSON,SCHOOL - PRIVATE GROUNDS,1
ARSON,VEHICLE-COMMERCIAL,1
ARSON,WAREHOUSE,1
ASSAULT,STREET,10513
ASSAULT,RESIDENCE,10194
ASSAULT,APARTMENT,10071
ASSAULT,SIDEWALK,6018
ASSAULT,RESTAURANT,1614
ASSAULT,SCHOOL - PUBLIC BUILDING,1542
ASSAULT,OTHER,1535
ASSAULT,ALLEY,1375
ASSAULT,GAS STATION,1299
ASSAULT,SMALL RETAIL STORE,1224
ASSAULT,RESIDENCE PORCH/HALLWAY,1152
ASSAULT,PARKING LOT/GARAGE(NON.RESID.),1019
ASSAULT,RESIDENTIAL YARD (FRONT/BACK),974
ASSAULT,GROCERY FOOD STORE,682
ASSAULT,CONVENIENCE STORE,618
ASSAULT,RESIDENCE - YARD (FRONT/BACK),492
ASSAULT,SCHOOL - PUBLIC GROUNDS,483
ASSAULT,DEPARTMENT STORE,460
ASSAULT,RESIDENCE - PORCH/HALLWAY,439
ASSAULT,HOSPITAL BUILDING/GROUNDS,425
ASSAULT,CTA BUS,403
ASSAULT,PARKING LOT/GARAGE (NON RESIDENTIAL),386
ASSAULT,OTHER (SPECIFY),379
ASSAULT,PARK PROPERTY,359
ASSAULT,COMMERCIAL/BUSINESS OFFICE,348
ASSAULT,CHA APARTMENT,310
ASSAULT,CHA PARKING LOT/GROUNDS,293
ASSAULT,CTA STATION,274
ASSAULT,VEHICLE NON-COMMERCIAL,268
ASSAULT,GOVERNMENT BUILDING/PROPERTY,241
ASSAULT,HOTEL/MOTEL,235
ASSAULT,DRUG STORE,232
ASSAULT,NURSING HOME/RETIREMENT HOME,217
ASSAULT,SCHOOL - PRIVATE BUILDING,216
ASSAULT,BAR OR TAVERN,191
ASSAULT,CTA PLATFORM,169
ASSAULT,CTA TRAIN,151
ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,135
ASSAULT,BANK,127
ASSAULT,CTA BUS STOP,125
ASSAULT,TAVERN/LIQUOR STORE,124
ASSAULT,LIBRARY,118
