month,primary_type,counts
JAN,PUBLIC INDECENCY,0
JAN,OTHER NARCOTIC VIOLATION,2
JAN,HUMAN TRAFFICKING,5
JAN,GAMBLING,11
JAN,OBSCENITY,19
JAN,CONCEALED CARRY LICENSE VIOLATION,31
JAN,INTIMIDATION,35
JAN,KIDNAPPING,38
JAN,STALKING,48
JAN,LIQUOR LAW VIOLATION,58
JAN,ARSON,71
JAN,HOMICIDE,100
JAN,PROSTITUTION,133
JAN,SEX OFFENSE,239
JAN,PUBLIC PEACE VIOLATION,284
JAN,INTERFERENCE WITH PUBLIC OFFICER,301
JAN,CRIMINAL SEXUAL ASSAULT,392
JAN,OFFENSE INVOLVING CHILDREN,575
JAN,WEAPONS VIOLATION,1332
JAN,CRIMINAL TRESPASS,1713
JAN,ROBBERY,2273
JAN,MOTOR VEHICLE THEFT,2359
JAN,BURGLARY,2468
JAN,NARCOTICS,3712
JAN,OTHER OFFENSE,4142
JAN,ASSAULT,4376
JAN,DECEPTIVE PRACTICE,4629
JAN,CRIMINAL DAMAGE,5476
JAN,BATTERY,10607
JAN,THEFT,13942
FEB,OTHER NARCOTIC VIOLATION,1
FEB,PUBLIC INDECENCY,2
FEB,GAMBLING,3
FEB,HUMAN TRAFFICKING,3
FEB,OBSCENITY,15
FEB,CONCEALED CARRY LICENSE VIOLATION,31
FEB,INTIMIDATION,32
FEB,LIQUOR LAW VIOLATION,39
FEB,KIDNAPPING,39
FEB,STALKING,52
FEB,ARSON,74
FEB,PROSTITUTION,84
FEB,HOMICIDE,106
FEB,SEX OFFENSE,266
FEB,PUBLIC PEACE VIOLATION,274
FEB,INTERFERENCE WITH PUBLIC OFFICER,319
FEB,CRIMINAL SEXUAL ASSAULT,344
FEB,OFFENSE INVOLVING CHILDREN,555
FEB,WEAPONS VIOLATION,1144
FEB,CRIMINAL TRESPASS,1580
FEB,ROBBERY,1769
FEB,MOTOR VEHICLE THEFT,1931
FEB,BURGLARY,1987
FEB,NARCOTICS,3444
FEB,OTHER OFFENSE,3913
FEB,ASSAULT,4161
FEB,DECEPTIVE PRACTICE,4195
FEB,CRIMINAL DAMAGE,5131
FEB,BATTERY,9929
FEB,THEFT,12461
MAR,PUBLIC INDECENCY,1
MAR,OTHER NARCOTIC VIOLATION,2
MAR,HUMAN TRAFFICKING,3
MAR,GAMBLING,17
MAR,OBSCENITY,20
MAR,INTIMIDATION,30
MAR,CONCEALED CARRY LICENSE VIOLATION,34
MAR,KIDNAPPING,40
MAR,LIQUOR LAW VIOLATION,52
MAR,STALKING,59
MAR,ARSON,87
MAR,HOMICIDE,98
MAR,PROSTITUTION,104
MAR,SEX OFFENSE,276
MAR,INTERFERENCE WITH PUBLIC OFFICER,300
MAR,PUBLIC PEACE VIOLATION,338
MAR,CRIMINAL SEXUAL ASSAULT,342
MAR,OFFENSE INVOLVING CHILDREN,545
MAR,WEAPONS VIOLATION,1353
MAR,CRIMINAL TRESPASS,1495
MAR,ROBBERY,1742
MAR,BURGLARY,2066
MAR,MOTOR VEHICLE THEFT,2081
MAR,NARCOTICS,3431
MAR,OTHER OFFENSE,4034
MAR,DECEPTIVE PRACTICE,4413
MAR,ASSAULT,4761
MAR,CRIMINAL DAMAGE,6255
MAR,BATTERY,11576
MAR,THEFT,12750
APR,PUBLIC INDECENCY,1
APR,OTHER NARCOTIC VIOLATION,1
APR,HUMAN TRAFFICKING,1
APR,OBSCENITY,7
APR,GAMBLING,13
APR,KIDNAPPING,28
APR,INTIMIDATION,30
APR,LIQUOR LAW VIOLATION,34
APR,STALKING,36
APR,CONCEALED CARRY LICENSE VIOLATION,38
APR,ARSON,93
APR,PROSTITUTION,147
APR,HOMICIDE,165
APR,SEX OFFENSE,223
APR,INTERFERENCE WITH PUBLIC OFFICER,235
APR,CRIMINAL SEXUAL ASSAULT,300
APR,PUBLIC PEACE VIOLATION,308
APR,OFFENSE INVOLVING CHILDREN,565
APR,CRIMINAL TRESPASS,1383
APR,WEAPONS VIOLATION,1395
APR,ROBBERY,1747
APR,BURGLARY,2168
APR,MOTOR VEHICLE THEFT,2179
APR,NARCOTICS,2570
APR,OTHER OFFENSE,3702
APR,DECEPTIVE PRACTICE,4217
APR,ASSAULT,4485
APR,CRIMINAL DAMAGE,6299
APR,BATTERY,10471
APR,THEFT,12148
MAY,HUMAN TRAFFICKING,1
MAY,OTHER NARCOTIC VIOLATION,2
MAY,PUBLIC INDECENCY,6
MAY,OBSCENITY,23
MAY,INTIMIDATION,36
MAY,GAMBLING,38
MAY,KIDNAPPING,49
MAY,CONCEALED CARRY LICENSE VIOLATION,50
MAY,STALKING,51
MAY,LIQUOR LAW VIOLATION,51
MAY,ARSON,136
MAY,PROSTITUTION,175
MAY,HOMICIDE,195
MAY,SEX OFFENSE,307
MAY,INTERFERENCE WITH PUBLIC OFFICER,324
MAY,CRIMINAL SEXUAL ASSAULT,400
MAY,OFFENSE INVOLVING CHILDREN,603
MAY,PUBLIC PEACE VIOLATION,684
MAY,CRIMINAL TRESPASS,1521
MAY,WEAPONS VIOLATION,1949
MAY,ROBBERY,2032
MAY,MOTOR VEHICLE THEFT,2424
MAY,NARCOTICS,2860
MAY,BURGLARY,3113
MAY,OTHER OFFENSE,4042
MAY,DECEPTIVE PRACTICE,4344
